DWA_ID,DWA_TITLE,CLASSIFICATION,EXPLANATION
4.A.3.a.2.I36.D06,Assemble tires.,NON-REMOTE,This task requires physical presence and direct manual interaction with the tires and equipment.
4.A.3.a.2.I36.D07,"Construct patterns, templates, or other work aids.",NON-REMOTE,"This task requires physical presence to handle materials and tools for constructing patterns and templates, which cannot be easily replicated remotely."
4.A.3.a.2.I36.D08,Assemble metal or plastic parts or products.,NON-REMOTE,"This task requires physical presence and direct manual interaction to handle and assemble the parts, which cannot be easily replicated remotely."
4.A.3.a.2.I37.D01,Stock products or parts.,NON-REMOTE,"This task requires physical presence to handle and organize products or parts, which cannot be done remotely."
4.A.3.a.2.I37.D02,Stock medical or patient care supplies.,NON-REMOTE,This task requires physical presence to handle and organize supplies in a specific location.
4.A.3.a.2.I37.D03,Store records or related materials.,NON-REMOTE,"This task typically requires physical presence to handle, organize, and store physical records or materials, which cannot be easily replicated remotely."
4.A.3.a.2.I37.D04,Store supplies or goods in kitchens or storage areas.,NON-REMOTE,This task requires physical presence to handle and organize physical items in specific locations.
4.A.3.a.2.I37.D05,Stock serving stations or dining areas with food or supplies.,NON-REMOTE,This task requires physical presence to handle and place food or supplies in specific locations.
4.A.3.a.2.I37.D06,Stock supplies or merchandise.,NON-REMOTE,"This task requires physical presence to handle, organize, and place items in specific locations, which cannot be done remotely."
4.A.3.a.2.I37.D07,Store items.,NON-REMOTE,Storing items typically requires physical presence to handle and organize the items in a specific location.
4.A.3.a.2.I38.D01,Collect biological specimens from patients.,NON-REMOTE,"This task requires physical presence to interact directly with patients and collect specimens, which cannot be done remotely."
4.A.3.a.2.I38.D02,Collect biological specimens.,NON-REMOTE,This task requires physical presence to handle and collect biological specimens directly.
4.A.3.a.2.I38.D03,Collect geographical or geological field data.,NON-REMOTE,"This task requires physical presence in the field to gather data directly from geographical or geological sites, which cannot be done remotely."
4.A.3.a.2.I38.D04,Collect geological samples.,NON-REMOTE,"This task requires physical presence to gather samples from specific locations, which cannot be done remotely."
4.A.3.a.2.I38.D05,Collect environmental data or samples.,NON-REMOTE,"This task requires physical presence to gather data or samples from specific environmental locations, which cannot be done remotely."
4.A.3.a.2.I39.D01,Apply mortar.,NON-REMOTE,"This task requires physical presence and direct manual interaction to apply mortar, which cannot be performed remotely."
4.A.3.a.2.I39.D02,Seal gaps or cracks to prevent leakage or moisture intrusion.,NON-REMOTE,"This task requires physical presence to identify and seal gaps or cracks, which involves direct manual interaction and cannot be performed remotely."
4.A.3.a.2.I39.D03,"Fill cracks, imperfections, or holes in products or workpieces.",NON-REMOTE,"This task requires physical presence and direct manual interaction to fill cracks, imperfections, or holes in products or workpieces."
4.A.3.a.2.I39.D04,Apply material to fill gaps in surfaces.,NON-REMOTE,This task requires physical presence and direct manual interaction to apply material to surfaces.
4.A.3.a.2.I40.D01,Apply parting agents or other solutions to molds.,NON-REMOTE,"This task requires physical presence to apply solutions directly to molds, which involves manual interaction and cannot be performed remotely."
4.A.3.a.2.I40.D02,Remove workpieces from molds.,NON-REMOTE,"This task requires physical presence and direct manual interaction with the molds and workpieces, which cannot be performed remotely."
4.A.3.a.2.I40.D03,Remove products or workpieces from production equipment.,NON-REMOTE,This task requires physical presence to manually handle and remove items from production equipment.
4.A.3.a.2.I41.D01,Align equipment or machinery.,NON-REMOTE,"This task requires physical presence to manually adjust and ensure proper alignment of equipment or machinery, which cannot be done remotely."
4.A.3.a.2.I41.D02,Lay out parts to prepare for assembly.,NON-REMOTE,"This task requires physical presence to handle and position parts for assembly, which cannot be done remotely."
4.A.3.a.2.I41.D03,Position structural components.,NON-REMOTE,This task requires physical presence and direct manual interaction to handle and place structural components.
4.A.3.a.2.I41.D04,Align parts or workpieces to ensure proper assembly.,NON-REMOTE,"This task requires physical presence to manually align parts or workpieces, which cannot be easily replicated remotely."
4.A.3.a.2.I41.D05,Mark reference points on construction materials.,NON-REMOTE,"This task requires physical presence to interact directly with construction materials and mark reference points, which cannot be done remotely."
4.A.3.a.2.I41.D06,Lay out work according to specifications.,NON-REMOTE,This task typically requires physical presence to interpret and apply specifications directly to a physical workspace or materials.
4.A.3.a.2.I41.D07,Align masonry materials.,NON-REMOTE,This task requires physical presence and direct manual interaction to position and secure masonry materials on-site.
4.A.3.a.2.I41.D08,Draw guide lines or markings on materials or workpieces using patterns or other references.,NON-REMOTE,"This task requires physical presence to manually draw on materials or workpieces, which cannot be easily replicated remotely."
4.A.3.a.2.I42.D01,Package agricultural products for shipment or further processing.,NON-REMOTE,"This task requires physical presence to handle and package the agricultural products, which involves direct manual interaction and cannot be easily replicated remotely."
4.A.3.a.2.I42.D02,Package products for storage or shipment.,NON-REMOTE,"This task requires physical presence to handle and package products, which involves direct manual interaction that cannot be easily replicated remotely."
4.A.3.a.2.I42.D03,Package food or supplies.,NON-REMOTE,This task requires physical presence to handle and package items directly.
4.A.3.a.2.I42.D04,Package materials for transport.,NON-REMOTE,"This task requires physical presence to handle and package materials, which cannot be done remotely."
4.A.3.a.2.I42.D05,Package materials or products.,NON-REMOTE,"This task requires physical presence to handle and package materials or products, which involves direct manual interaction that cannot be easily replicated remotely."
4.A.3.a.2.I42.D06,Package objects for shipping.,NON-REMOTE,"This task requires physical presence to handle and package objects, which cannot be done remotely."
4.A.3.a.2.I43.D01,Install green plumbing or water handling systems.,NON-REMOTE,This task requires physical presence and direct manual interaction to install systems on-site.
4.A.3.a.2.I43.D02,Install piping for installation or maintenance activities.,NON-REMOTE,"This task requires physical presence and direct manual interaction to install piping, which cannot be performed remotely."
4.A.3.a.2.I43.D03,Install plumbing or piping.,NON-REMOTE,This task requires physical presence and direct manual interaction with on-site equipment.
4.A.3.a.2.I44.D01,Locate animals for fishing or hunting purposes.,NON-REMOTE,This task requires physical presence in the environment where the animals are located and cannot be performed remotely.
4.A.3.a.2.I44.D02,Capture or kill animals.,NON-REMOTE,"This task requires physical presence and direct manual interaction with animals, which cannot be performed remotely."
4.A.3.a.2.I45.D01,Apply decorative masonry finishes.,NON-REMOTE,"This task requires physical presence and direct manual interaction to apply masonry finishes, which cannot be performed remotely."
4.A.3.a.2.I45.D02,"Apply finishes to artwork, crafts, or displays.",NON-REMOTE,"This task requires physical presence to manually apply finishes to tangible items, which cannot be done remotely."
4.A.3.a.2.I45.D03,Apply decorative or textured finishes or coverings.,NON-REMOTE,"This task requires physical presence and direct manual interaction to apply finishes or coverings, which cannot be easily replicated remotely."
4.A.3.a.2.I45.D04,Apply decorative coloring to photographs or printed materials.,NON-REMOTE,"This task requires physical presence to handle and apply coloring directly to photographs or printed materials, which cannot be easily replicated remotely."
